,Order,Family,Genus,Latin,English_name,Beak.Length_Culmen,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Secondary1,Tail.Length,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.PlantO
Accipiter_albogularis,Accipitriformes,ACCIPITRIDAE,Accipiter,Accipiter albogularis,Pied Goshawk,27.7,10.6,14.7,62,235.2,159.5,169,0,80,20,0,0,0,0,0
Accipiter_badius,Accipitriformes,ACCIPITRIDAE,Accipiter,Accipiter badius,Shikra,20.6,8.8,11.6,43,186.7,127.4,140.6,10,30,60,0,0,0,0,0
Accipiter_bicolor,Accipitriformes,ACCIPITRIDAE,Accipiter,Accipiter bicolor,Bicolored Hawk,25,8.6,12.7,58.1,229.6,174.8,186.3,0,100,0,0,0,0,0,0
Accipiter_brachyurus,Accipitriformes,ACCIPITRIDAE,Accipiter,Accipiter brachyurus,New Britain Sparrowhawk,22.5,8.9,11.9,61.2,202.2,138.1,140.8,0,100,0,0,0,0,0,0
Accipiter_brevipes,Accipitriformes,ACCIPITRIDAE,Accipiter,Accipiter brevipes,Levant Sparrowhawk,21.1,8.7,11.1,46.4,217.6,129.9,153.5,40,20,40,0,0,0,0,0
Accipiter_butleri,Accipitriformes,ACCIPITRIDAE,Accipiter,Accipiter butleri,Nicobar Sparrowhawk,20,6.6,12,48.7,166,123.1,127,10,0,90,0,0,0,0,0
Accipiter_castanilius,Accipitriformes,ACCIPITRIDAE,Accipiter,Accipiter castanilius,Chestnut-flanked Sparrowhawk,20.5,8.3,10.9,52.6,163.5,123.1,135.4,10,80,10,0,0,0,0,0
Accipiter_cirrocephalus,Accipitriformes,ACCIPITRIDAE,Accipiter,Accipiter cirrocephalus,Collared Sparrowhawk,19.2,7.7,9.6,60.3,213,133.7,155.4,10,80,10,0,0,0,0,0
Accipiter_collaris,Accipitriformes,ACCIPITRIDAE,Accipiter,Accipiter collaris,Semi-collared Hawk,20,8.6,11,43.6,165.9,115.2,125,0,80,0,0,20,0,0,0
Accipiter_cooperii,Accipitriformes,ACCIPITRIDAE,Accipiter,Accipiter cooperii,Cooper's Hawk,25.4,8.6,13.2,62,241.2,163.5,188.4,0,90,10,0,0,0,0,0
Accipiter_erythrauchen,Accipitriformes,ACCIPITRIDAE,Accipiter,Accipiter erythrauchen,Rufous-necked Sparrowhawk,21.1,8.6,11.2,59.5,191.2,132.4,154.8,0,100,0,0,0,0,0,0
Accipiter_erythropus,Accipitriformes,ACCIPITRIDAE,Accipiter,Accipiter erythropus,Red-Legged Sparrowhawk,17.6,7.2,9.6,43,154.6,110.1,104.4,40,60,0,0,0,0,0,0
Accipiter_fasciatus,Accipitriformes,ACCIPITRIDAE,Accipiter,Accipiter fasciatus,Brown Goshawk,28.5,11.2,15.2,71.9,269.9,167.3,206,20,40,30,0,0,10,0,0
Accipiter_francesiae,Accipitriformes,ACCIPITRIDAE,Accipiter,Accipiter francesiae,Frances's Sparrowhawk,20.2,8.7,10.7,48.1,155.8,112.8,127.5,60,20,20,0,0,0,0,0
Accipiter_gentilis,Accipitriformes,ACCIPITRIDAE,Accipiter,Accipiter gentilis,Northern Goshawk,33.7,11.6,18,67.3,337.6,215,241.1,0,90,10,0,0,0,0,0
Accipiter_griseiceps,Accipitriformes,ACCIPITRIDAE,Accipiter,Accipiter griseiceps,Sulawesi Goshawk,24.1,8.8,12.4,52,187.2,137.3,141.2,20,40,40,0,0,0,0,0
Accipiter_gularis,Accipitriformes,ACCIPITRIDAE,Accipiter,Accipiter gularis,Japanese Sparrowhawk,23.3,6.6,9.1,43.6,162.6,109,106.4,10,80,10,0,0,0,0,0
Accipiter_gundlachi,Accipitriformes,ACCIPITRIDAE,Accipiter,Accipiter gundlachi,Gundlach's Hawk,26,8.3,16.3,71.3,228,166.2,223,0,100,0,0,0,0,0,0
Accipiter_haplochrous,Accipitriformes,ACCIPITRIDAE,Accipiter,Accipiter haplochrous,White-bellied Goshawk,23.7,9.6,13.2,58.9,227.8,153.2,155,30,20,50,0,0,0,0,0
Accipiter_henicogrammus,Accipitriformes,ACCIPITRIDAE,Accipiter,Accipiter henicogrammus,Moluccan Goshawk,27.9,10,13.6,65.1,230.2,160.5,190,30,40,30,0,0,0,0,0
Accipiter_henstii,Accipitriformes,ACCIPITRIDAE,Accipiter,Accipiter henstii,Henst's Goshawk,32.6,11.8,17.2,75,290.5,212.5,245,0,100,0,0,0,0,0,0
Accipiter_hiogaster,Accipitriformes,ACCIPITRIDAE,Accipiter,Accipiter hiogaster,Variable Goshawk,26,9.4,13.9,51.1,197.2,136.5,136.5,NA,NA,NA,NA,NA,NA,NA,NA
Accipiter_imitator,Accipitriformes,ACCIPITRIDAE,Accipiter,Accipiter imitator,Imitator Goshawk,26.4,9.1,12.2,49.6,200,140,161,40,0,60,0,0,0,0,0
Accipiter_luteoschistaceus,Accipitriformes,ACCIPITRIDAE,Accipiter,Accipiter luteoschistaceus,Slaty-backed Goshawk,26.4,7.8,11.9,51.5,188,131,146,40,0,60,0,0,0,0,0
Accipiter_madagascariensis,Accipitriformes,ACCIPITRIDAE,Accipiter,Accipiter madagascariensis,Madagascar Sparrowhawk,19.7,7.4,9.4,58,190.8,136.2,149.5,20,60,20,0,0,0,0,0
Accipiter_melanochlamys,Accipitriformes,ACCIPITRIDAE,Accipiter,Accipiter melanochlamys,Black-mantled Goshawk,25.9,11,13.9,62.7,228.6,156.2,164.8,10,80,10,0,0,0,0,0
Accipiter_melanoleucus,Accipitriformes,ACCIPITRIDAE,Accipiter,Accipiter melanoleucus,Black Sparrowhawk,29.6,10.3,16.3,75.8,302.8,200.8,219.4,0,90,10,0,0,0,0,0
Accipiter_meyerianus,Accipitriformes,ACCIPITRIDAE,Accipiter,Accipiter meyerianus,Meyer's Goshawk,35,12.6,18.6,75.4,309.5,207.5,200,0,100,0,0,0,0,0,0
