sp,sp_distri_area_km2,pa_areas_intersect_range_km2,pa_strict_areas_intersect_range_km2,pa_areas_overlap_range_km2,pa_strict_areas_overlap_range_km2,pa_intersect_distri_perc,pa_strict_intersect_distri_perc,pa_overlap_distri_perc,pa_strict_overlap_distri_perc
Accipiter_albogularis,19050.860288345986,859.0362717837612,0,147.46266611085306,0,0.04509173122797299,0,0.007740472812194242,0
Accipiter_badius,12226060.859931292,72381.38347187651,328.7060059295162,55250.12492512045,327.1990681587249,0.005920253816917715,2.6885683761545045e-5,0.004519045468372627,2.6762427564143804e-5
Accipiter_bicolor,7522553.724954975,2356296.7258111653,697904.6800732454,2141008.774453714,627273.7461404888,0.3132309601185691,0.09277496786205042,0.28461196193936505,0.08338574493121925
Accipiter_brachyurus,9816.28254022264,0,0,0,0,0,0,0,0
Accipiter_brevipes,3001919.56682101,108530.22946533967,64832.87091194881,76640.92573227997,43645.2846790849,0.036153610064999724,0.02159713792085572,0.025530639321373165,0.014539125285526765
Accipiter_butleri,166.78144879617236,0,0,0,0,0,0,0,0
Accipiter_castanilius,1057183.360453363,220199.92867758503,63420.06564776722,157466.95062759682,56597.146402291015,0.20828924944784827,0.05998965555092555,0.14894951672344578,0.05353579002418262
Accipiter_cirrocephalus,3050878.826537119,1322241.213893455,434878.16542564705,433547.60641199443,213958.49273343052,0.4333968305762758,0.1425419330466339,0.1421058098541691,0.07013011820475439
Accipiter_collaris,128087.67437559942,118491.46160669108,41124.824067469985,43523.95828606967,26508.184620282704,0.9250809040316497,0.3210677707120914,0.33979817728942185,0.20695343833436394
Accipiter_cooperii,6727628.184178804,0,0,0,0,0,0,0,0
Accipiter_erythrauchen,24258.980450254094,1987.9232869903308,1911.6774950288843,1834.8205224178284,1796.355601853453,0.08194587118229484,0.07880287875036648,0.0756346923227192,0.07404909722142249
Accipiter_erythropus,1976513.3163584925,348013.97449023084,101280.46123832835,300781.2534984732,84659.48667116204,0.17607469254566327,0.051241982738030024,0.1521777015156313,0.04283274287629784
Accipiter_fasciatus,4555153.178612671,1145762.6426195407,378278.8628594779,865766.6504984489,283400.40209926636,0.2515310896676579,0.08304415856651552,0.19006312555270183,0.062215339635533294
Accipiter_francesiae,276934.71207766293,64382.34098391623,12826.62639211825,23264.713354018964,12116.07891653779,0.2324820189599814,0.04631642705924558,0.08400793522588336,0.04375066897767581
Accipiter_gentilis,31014525.086994097,3103738.651174589,565089.5229871089,2485778.6961671035,507684.0996663222,0.10007371199361483,0.018220157213501183,0.0801488557117875,0.01636923661549855
Accipiter_griseiceps,70850.98053666721,8976.697376129314,6873.40429317051,5764.26301416966,4551.1012385326585,0.12669828008214568,0.09701212659454087,0.08135756161040715,0.06423483774056375
Accipiter_gularis,6530714.851832654,148577.41545786988,71613.18203290713,106582.40788585039,64577.99611547895,0.02275055929232249,0.010965596210774841,0.016320174790044793,0.009888350292519206
Accipiter_gundlachi,60188.95059535964,5618.138633683318,4703.112079488984,4398.388198695707,3519.84381165058,0.0933416944158594,0.0781391274140536,0.07307633968010746,0.058479899995497645
Accipiter_haplochrous,8841.523817240046,12562.97254189474,78.04493810777807,1929.2308075281803,78.0449381077807,1.4209058078199437,0.008827091316046518,0.21820116615717103,0.008827091316046814
Accipiter_henicogrammus,11470.333520663437,919.1093576877059,919.1093576877059,917.3204058435058,917.3204058435058,0.08012926180672603,0.08012926180672603,0.07997329843905433,0.07997329843905433
Accipiter_henstii,231041.21711628127,28625.014795598156,12787.973345543449,22166.032687113733,11387.502789521823,0.12389570637169646,0.05534931604479628,0.09593973302156618,0.04928775450395321
Accipiter_hiogaster,401916.1598182629,50224.909534450344,28010.754294831655,24550.814206536226,13417.813037055628,0.12496364803336316,0.06969302828604221,0.061084416754075103,0.033384606986499
Accipiter_imitator,8945.472791190161,0,0,0,0,0,0,0,0
Accipiter_luteoschistaceus,9900.537663445288,0,0,0,0,0,0,0,0
Accipiter_madagascariensis,254273.499511725,28705.403098360304,12826.62639211825,22955.93517108154,12226.368474914829,0.11289183950935731,0.0504442123019068,0.09028048622905353,0.04808353406231013
Accipiter_melanochlamys,58380.201380758226,19802.50674901992,16733.60760065084,7953.031216510259,6948.678438488866,0.33919901406072767,0.2866315498213773,0.1362282251244774,0.11902457124409835
Accipiter_melanoleucus,4689430.546724606,866526.9829572542,240314.73058017011,664369.6822877021,211979.19390524746,0.18478298683035005,0.051246036845139134,0.14167385051725304,0.045203610927409314
Accipiter_meyerianus,136042.00795319665,25002.48556934825,19150.422700575054,14695.722917552514,11803.958964428222,0.1837850377653203,0.14076845078002295,0.1080234196676101,0.08676701514497794
Accipiter_minullus,3527052.1944998587,956211.3067206655,320111.1820122843,838583.206722737,273156.20945831353,0.271107784628704,0.09075884459874758,0.23775752681812792,0.07744603549793726
Accipiter_nanus,55640.6810572675,5961.9331258010425,4310.773535157023,4969.767946029962,3943.621124078817,0.10715061376881413,0.0774752115402795,0.08931896324049104,0.07087657895524126
Accipiter_nisus,28227854.864865396,2356.4940911486374,0,839.8472616781908,0,8.348116080480897e-5,0,2.975242949557356e-5,0
Accipiter_novaehollandiae,1027762.5742311791,426528.62723585835,181910.68084933073,181569.9332103468,113240.14382030022,0.41500696554836547,0.1769967942113572,0.17666525106362307,0.11018122926397651
Accipiter_ovampensis,3784222.2026159726,1029267.248298811,373181.7959698464,847469.8035846184,292523.27071563445,0.2719891151178424,0.09861519117769348,0.2239482139814031,0.0773007648740652
Accipiter_poliocephalus,339749.9135136344,47017.0985215236,28056.6714211801,23513.573468601156,12641.817310641272,0.1383873745110954,0.08258036368875828,0.06920847521468917,0.03720918477918596
Accipiter_poliogaster,4026426.523368884,1457240.2861454554,419158.9890968586,1377662.8822480757,387737.2843318061,0.3619190062671732,0.10410198389666654,0.3421552272846133,0.09629811498643441
Accipiter_princeps,5838.681952731533,21.972676575983048,0,16.61824981675696,0,0.0037632939683764563,0,0.002846233097006146,0
Accipiter_rhodogaster,73588.01583966371,7417.3458104894,5115.025251455162,6238.012289681538,4583.0057817615925,0.10079556740122722,0.06950894371985743,0.0847694046170935,0.062279241116477646
Accipiter_rufitorques,411008.3504047399,2785256.9225836257,261985.00460312076,59196.56091690989,13850.376460699323,6.776643150536596,0.6374201505763359,0.14402763559089773,0.0336985281371052
Accipiter_rufiventris,400411.59563319583,109687.15857269266,34631.09632670716,42077.26450474002,17403.21914933969,0.27393601925847705,0.08648874484252346,0.10508502991328365,0.043463324586838936
Accipiter_soloensis,2277228.5027243434,31257.36761643931,4899.930982425713,26628.016956530417,4890.7811576385975,0.013726056730382928,0.0021517080857558746,0.011693168658601545,0.0021476901205950793
Accipiter_striatus,14216595.88409949,1184604.3940308986,577478.9980893541,866487.9124869702,443384.72340607387,0.08332546016559533,0.040620061426605916,0.06094904290387062,0.03118782632781848
